,COV_GDR,COV_AGR,COV_REG,NUM_CASE,COV_ASM,NUM_ASM,COV_DTH,NUM_DTH,COV_HSP,NUM_HSP,PER_ASM,PER_DTH,PER_HSP
57,2,4,3,42277,2,36393,,,1.0,171.0,0.8608226695366274,,0.004044752465879793
58,2,4,4,24050,2,22210,,,1.0,159.0,0.9234927234927235,,0.006611226611226611
59,2,4,5,159,2,159,,,1.0,5.0,1.0,,0.031446540880503145
60,2,5,1,667,2,612,1.0,4.0,1.0,11.0,0.9175412293853074,0.005997001499250375,0.01649175412293853
61,2,5,2,26055,2,23453,1.0,80.0,1.0,228.0,0.9001343312224142,0.003070427940894262,0.008750719631548647
62,2,5,3,40019,2,33922,1.0,152.0,1.0,386.0,0.8476473675004373,0.00379819585696794,0.009645418426247533
63,2,5,4,17389,2,15897,1.0,108.0,1.0,310.0,0.9141986313186498,0.00621082293403876,0.017827362125481628
64,2,5,5,172,2,172,,,1.0,7.0,1.0,,0.040697674418604654
65,2,6,1,430,2,382,1.0,12.0,1.0,17.0,0.8883720930232558,0.027906976744186046,0.03953488372093023
66,2,6,2,15200,2,13178,1.0,277.0,1.0,385.0,0.8669736842105263,0.018223684210526316,0.02532894736842105
67,2,6,3,23567,2,19254,1.0,350.0,1.0,501.0,0.8169898587007256,0.014851275088046845,0.021258539483175628
68,2,6,4,10306,2,9302,1.0,237.0,1.0,330.0,0.9025810207646031,0.02299631282747914,0.03202018241800893
69,2,6,5,111,2,111,1.0,2.0,1.0,9.0,1.0,0.018018018018018018,0.08108108108108109
70,2,7,1,228,2,188,1.0,11.0,1.0,4.0,0.8245614035087719,0.04824561403508772,0.017543859649122806
71,2,7,2,10078,2,8223,1.0,940.0,1.0,423.0,0.8159357015280809,0.0932724746973606,0.041972613613812264
72,2,7,3,12150,2,9325,1.0,760.0,1.0,455.0,0.7674897119341564,0.06255144032921811,0.037448559670781895
73,2,7,4,5108,2,4369,1.0,353.0,1.0,213.0,0.8553249804228661,0.06910728269381362,0.041699295223179327
74,2,7,5,70,2,70,1.0,2.0,1.0,9.0,1.0,0.02857142857142857,0.12857142857142856
75,2,8,1,293,2,251,1.0,50.0,1.0,3.0,0.856655290102389,0.17064846416382254,0.010238907849829351
76,2,8,2,20508,2,16138,1.0,4380.0,1.0,282.0,0.7869124244197386,0.21357519016968987,0.013750731421884143
77,2,8,3,16000,2,10028,1.0,3175.0,1.0,259.0,0.62675,0.1984375,0.0161875
78,2,8,4,5975,2,4627,1.0,1127.0,1.0,52.0,0.7743933054393305,0.1886192468619247,0.008702928870292887
79,2,8,5,82,2,82,1.0,14.0,1.0,6.0,1.0,0.17073170731707318,0.07317073170731707
